,item_name,item_volumn,type
0,cj hetbahn cooked white rice box,['7.4oz(210g) 12 ea'],asian
1,cj cooked white rice with seaweed soup,['5.9oz(167g)'],asian
2,samyang hot chicken flavor ramen,['4.94oz(140g) 5 packs'],asian
3,cj cooked white rice with soft tofu stew,['6.1oz(174g)'],asian
4,haioreum peeled roasted chestnuts,['3.52oz(100g)'],asian
5,paldo bibim men,['4.58oz(130g) 5 packs'],asian
6,dongwon light standard tuna,['5.29oz(150g) 4 cans'],asian
7,cj cooked white rice with assorted vegetables bibimbap,['8.1oz(230g)'],asian
8,cj cooked white rice with soybean paste bibimbap,['9.8oz(280g)'],asian
9,cj cooked white rice with stir-fried jjajang ,['9.6oz(275g)'],asian
10,kyong gi rice 15lb(6.8kg) kyong gi rice 15lb(6.8kg),['6.8kg)'],asian
11,orion choco pie,['1.37oz(39g) 12 packs'],asian
12,nongshim shin ramyun,['4.2oz(120g) 4 packs'],asian
13,ottogi 3 minutes jjajang,['5.64oz(160g)'],asian
14,haitai choco homerun ball big size,['5.15oz(146g)'],asian
15,ottogi 3 minutes curry hot flavor,['6.7oz(190g)'],asian
16,organic farm organic peeled roasted chestnut,['3.5oz(100g)'],asian
17,cj cooked white rice with stir-fried kimchi ,['8.65oz(247g)'],asian
18,cj bibigo kimchi stew with tofu 16.2oz(460g),['6.2oz(460g)'],asian
19,cj cooked white rice with yellow cream curry,['9.8oz(280g)'],asian
20,dongwon canned cabbage kimchi,['5.6oz(160g)'],asian
21,ottogi 3 minutes spicy sauce with kimchi & tuna sauce,['5.29oz(150g)'],asian
22,ottogi 3 minutes curry medium hot flavor,['6.7oz(190g)'],asian
23,beksul dadam beef bone stock soup,['3.52oz(100g) (20g x 5ea)'],asian
24,choripdong boryung daechun roasted seaweed laver,['0.21oz(6g) 12 packs'],asian
25,sempio sesame leaves in spicy sauce,['2.4oz(70g)'],asian
26,dongwon tuna with hot pepper sauce,['5.29oz(150g) 4 cans'],asian
27,samyang samyang ramen,['4.23oz(120g) 5 packs'],asian
28,ottogi 3 minutes spicy sauce with octopus ,['5.29oz(150g)'],asian
29,ottogi cooked rice spicy sauce with octopus,['8.82oz(250g)'],asian
30,nongshim onion flavored ring,['3.17oz(90g)'],asian
31,nongshim zha wang,['4.72oz(134g) 4 packs'],asian
32,ottogi cooked rice kimchi and tuna flavor,['9.88oz(280g)'],asian
33,cj cooked white rice with bean sprout soup,['9.52oz(270g)'],asian
34,ottogi jin jjambbong spicy seafood noodle,['4.58oz(130g) 4 packs'],asian
35,crown corn chip big size,['5.22oz(148g)'],asian
36,s&b golden curry sauce mix hot,['7.8oz(220g)'],asian
37,organic farm roasted organic chestnut with shell,['5.3oz(150g)'],asian
38,ottogi spicy beef flavored soup,['1.47oz(42g)'],asian
39,orion wang seasoned goraebab,['1.97oz(56g)'],asian
40,crown choco heim big size 10oz(284g),[],asian
41,ottogi 3 minutes curry mild flavor,['6.7oz(190g)'],asian
42,dongwon rice porridge with abalone 10.16oz(288g),['0.16oz(288g)'],asian
43,maxim mocha gold mild coffee mix,['0.42oz(12g) 100 sticks'],asian
44,ottogi beef bone vegetable soup,['0.77oz(22g)'],asian
45,nongshim cuttlefish snack,['1.94oz(55g)'],asian
46,chung jung one sunchang 100% brown rice red pepper paste,['1.1lb(500g)'],asian
47,haioreum bai top shell 14.1oz(400g),['4.1oz(400g)'],asian
48,orion custard,['9.73oz(23g) 12 packs'],asian
49,choung soo mul naengmyeon (korean cold noodle) 25.40oz(720g),['5.40oz(720g)'],asian
50,nongshim jang kal guk su spicy flavor,['4.06oz(115g) 4 packs'],asian
51,antme's food premium grain crispy roll 21,['6.35oz(180g)'],asian
52,cj bibigo soybean paste stew 16.2oz(460g),['6.2oz(460g)'],asian
53,orion o! karto chilli chilli,['4.06oz(115g)'],asian
54,s&b golden curry sauce mix medium hot,['7.8oz(220g)'],asian
55,chongga cut cabbage kimchi (mat kimchi) 17.6oz(500g),['7.6oz(500g)'],asian
56,indomie mi goreng fried noodles 3oz(85g) 5 packs,[],asian
57,ottogi dried pollack soup,['1.12oz(32g)'],asian
58,nongshim potato flavored snack,['1.93oz(55g)'],asian
59,glico pocky chocolate cream covered biscuit sticks,['4.13oz(117g) 9 packs'],asian
60,q1 sweet korean pancake mix original,['1.21lb(550g)'],asian
61,ottogi seaweed soup,['0.63oz(18g)'],asian
62,nongshim champong noodle soup,['4.58oz(130g) 4 packs'],asian
63,paldo bul jjamppong noodle soup,['4.90oz(139g) 4 packs'],asian
64,chongga dried radish kimchi 7oz(200g),[],asian
65,crown jolly pong big size,['6.98oz(198g)'],asian
66,ottogi sesame flavor ramen,['4.05oz(115g) 5 packs'],asian
67,ottogi jin ramen cup mild flavor,['2.3oz(65g) 6 cups'],asian
68,lotte moncher cacao cake 13.6oz(384g) 12 pieces,['3.6oz(384g) 12 pieces'],asian
69,dongwon yangban perilla oil seasoned laver 9 packs,[],asian
70,sempio sesame leaves in soy sauce,['2.4oz(70g)'],asian
71,crown white heim big 10oz(284g),[],asian
72,mukkomokko pororo dried rice cake hot sauce,['4.2oz(120g)'],asian
73,ottogi jin ramen cup hot flavor,['2.3oz(65g) 6 cups'],asian
74,samyang samyang ramen,['4.23oz(120g) 20 packs'],asian
75,danya soba tsuyu 16.7 fl.oz(500ml),['6.7 fl.oz(500ml)'],asian
76,beksul korean pan cake mix,['2.2lb(1kg)'],asian
77,nongshim ansung tang myun,['4.4oz(125g) 4 packs'],asian
78,dongwon rice porridge with pumpkin 10.05oz(285g),['0.05oz(285g)'],asian
79,nestle kit kat mini otona no amasa(sweetness for adults) green tea,['4.7oz(133g)'],asian
80,cj brown rice & brown sweet rice (barn barn mee) 15lb(6.8kg),['6.8kg)'],asian
81,choripdong korean traditional cookie 11.28oz(320g),['1.28oz(320g)'],asian
82,crown choco pie value pack,['1.05oz(29g) 24 packs box'],asian
83,cj hetbahn cooked sprouted brown rice,['7.4oz(210g) 3 ea'],asian
84,want want rice crackers senbei,['3.95oz(112g)'],asian
85,sempio braised anchovies in soy sauce,['1.76oz(50g)'],asian
86,ottogi abalone rice porridge 10.05oz(285g),['0.05oz(285g)'],asian
87,paldo jjajangmen,['7.16oz(203g) 4 packs'],asian
88,haitai ace cracker big size 12.84oz(364g),['2.84oz(364g)'],asian
89,s&b golden curry sauce mix mild,['7.8oz(220g)'],asian
90,ottogi ppushu ppushu dduckboki flavor,['3.17oz(90g)'],asian
91,tong tong bay roasted dried squid,['1.5oz(43g)'],asian
92,choripdong ginseng chicken soup (samgyetang) preparation 10oz(284g),[],asian
93,lotte kancho choco biscuit,['1.48oz(42g)'],asian
94,cj hetbahn cooked white rice,['7.4oz(210g) 6 ea'],asian
95,ktown sesame coconut cracker big size 11.29oz(320g),['1.29oz(320g)'],asian
96,choripdong korean traditional cookie (yak-gwa),['3.52oz(100g)'],asian
97,ottogi korean vermicelli 35.27oz(1kg),['5.27oz(1kg)'],asian
98,s&b golden curry sauce mix extra hot flavor,['7.8oz(220g)'],asian
99,kwangcheon premium green tea seasoned laver gift box,['0.7oz(20g) 10 packs'],asian
100,haio premium roasted seaweed (green laver),['0.71oz(20g) 4 packs'],asian
101,haio premium roasted seaweed green laver,['0.15oz(4.25g) 8 packs'],asian
102,namyang french cafe coffee mix,['0.38oz(10.9g) 100 sticks'],asian
103,lotte pepero almond multi pack line friends,['4.51oz(128g)'],asian
104,joeun korean style popcorn,['5.99oz(170g)'],asian
105,haioreum aloe vera original 16.9oz(500ml),['6.9oz(500ml)'],asian
106,haio premium roasted seaweed,['0.15oz(4.25g) 8 packs'],asian
107,house foods chinese mabo tofu sauce hot flavor,['5.3oz(150g)'],asian
108,ottogi jjajang noodle,['4.76oz(135g) 5 packs'],asian
109,haioreum korean style noodles somen 3lb(1.4kg),['1.4kg)'],asian
110,q1 sesame bread mix 17.6oz(500g),['7.6oz(500g)'],asian
111,cj bibigo beef bone broth soup 17.6oz(500g),['7.6oz(500g)'],asian
112,haioreum honey citron tea,['2.2lb(1kg)'],asian
113,orion turtle chips cornsoup flavor big size,['5.6oz(160g)'],asian
114,glico pocky strawberry cream covered biscuit sticks,['3.81oz(108g) 9 packs'],asian
115,dongwon canned bai-top shell 14.1oz(400g),['4.1oz(400g)'],asian
116,yu dong bai top shell 14.1oz(400g),['4.1oz(400g)'],asian
117,kokuho rice yellow 15lb(6.8kg),['6.8kg)'],asian
118,paldo rabokki noodle,['5.11oz(145g) x 4packs'],asian
119,haioreum 100% pure sesame oil,['6.2oz(177ml)'],asian
120,crown couque dasse white torte 10.15oz(288g),['0.15oz(288g)'],asian
121,haioreum strawberry flavored milk drink,['6.76 fl.oz(200ml) 6 packs'],asian
122,haio premium roasted seaweed (laver),['0.71oz(20g) 4 packs'],asian
123,beksul furikake rice seasoning vegetable flavor,['0.95oz(27g)'],asian
124,nongshim postick snack,['2.46oz(70g)'],asian
125,chongga young radish leaves kimchi 17.6oz(500g),['7.6oz(500g)'],asian
126,crown couque dasse vienna coffee 10.15oz(288g),['0.15oz(288g)'],asian
127,paldo kokomen spicy chicken flavor,['4.2oz(120g) 5 packs'],asian
128,crown butter waffles 11.14oz(316g),['1.14oz(316g)'],asian
129,lotte pepero original multi pack line friends,['6.35oz(180g)'],asian
130,chung jung one sunchang gochujang hot pepper paste,['1.1lb (500g)'],asian
131,chung jung one sunchang 100% brown rice red pepper paste spicy,['2.2lb(1kg)'],asian
132,koala wonjo butter flavour corn snack 10.65oz(302g),['0.65oz(302g)'],asian
133,yu dong canned mackerel pike 14.1oz(400g),['4.1oz(400g)'],asian
134,chung jung one sunchang soybean paste shellfish anchovy flavor 15.9oz(450g),['5.9oz(450g)'],asian
135,want want shelly senbei rice crackers,['5.29oz(150g)'],asian
